,user_id,date_served,marketing_channel,variant,converted,language_displayed,language_preferred,age_group,date_subscribed,date_canceled,subscribing_channel,is_retained,DoW,channel_code,is_correct_lang
0,a100000029,01-01-2018,House Ads,personalization,TRUE,English,English,0-18 years,01-01-2018,,House Ads,TRUE,0,1,Yes
1,a100000030,01-01-2018,House Ads,personalization,TRUE,English,English,19-24 years,01-01-2018,,House Ads,TRUE,0,1,Yes
2,a100000031,01-01-2018,House Ads,personalization,TRUE,English,English,24-30 years,01-01-2018,,House Ads,TRUE,0,1,Yes
3,a100000032,01-01-2018,House Ads,personalization,TRUE,English,English,30-36 years,01-01-2018,,House Ads,TRUE,0,1,Yes
4,a100000033,01-01-2018,House Ads,personalization,TRUE,English,English,36-45 years,01-01-2018,,House Ads,TRUE,0,1,Yes
5,a100000034,01-01-2018,House Ads,personalization,TRUE,German,German,45-55 years,01-01-2018,,House Ads,TRUE,0,1,Yes
6,a100000035,01-01-2018,House Ads,personalization,TRUE,English,English,55+ years,01-01-2018,,House Ads,TRUE,0,1,Yes
7,a100000036,01-01-2018,House Ads,personalization,TRUE,English,English,0-18 years,01-01-2018,,House Ads,TRUE,0,1,Yes
8,a100000037,01-01-2018,House Ads,personalization,TRUE,English,English,19-24 years,01-01-2018,,House Ads,TRUE,0,1,Yes
9,a100000038,01-01-2018,House Ads,personalization,TRUE,English,English,24-30 years,01-01-2018,,House Ads,TRUE,0,1,Yes
10,a100000039,01-01-2018,House Ads,personalization,TRUE,English,English,0-18 years,01-01-2018,,House Ads,TRUE,0,1,Yes
11,a100000040,01-01-2018,House Ads,personalization,TRUE,English,English,19-24 years,01-01-2018,18-01-2018,House Ads,FALSE,0,1,Yes
12,a100000041,01-01-2018,House Ads,personalization,TRUE,Arabic,Arabic,24-30 years,01-01-2018,22-02-2018,House Ads,FALSE,0,1,Yes
13,a100000042,01-01-2018,House Ads,personalization,TRUE,English,English,0-18 years,01-01-2018,09-03-2018,House Ads,FALSE,0,1,Yes
14,a100000043,01-01-2018,House Ads,personalization,TRUE,English,English,19-24 years,01-01-2018,18-02-2018,House Ads,FALSE,0,1,Yes
15,a100000044,01-01-2018,House Ads,personalization,TRUE,Arabic,Arabic,24-30 years,01-01-2018,03-03-2018,House Ads,FALSE,0,1,Yes
16,a100000045,02-01-2018,House Ads,personalization,TRUE,English,English,0-18 years,02-01-2018,04-02-2018,House Ads,FALSE,1,1,Yes
17,a100000046,02-01-2018,House Ads,personalization,TRUE,English,English,19-24 years,02-01-2018,09-01-2018,House Ads,FALSE,1,1,Yes
18,a100000047,02-01-2018,House Ads,personalization,TRUE,English,English,24-30 years,02-01-2018,04-02-2018,House Ads,FALSE,1,1,Yes
19,a100000048,02-01-2018,House Ads,personalization,TRUE,German,German,0-18 years,02-01-2018,21-01-2018,House Ads,FALSE,1,1,Yes
20,a100000049,02-01-2018,House Ads,personalization,TRUE,German,German,19-24 years,02-01-2018,,House Ads,TRUE,1,1,Yes
21,a100000050,02-01-2018,House Ads,personalization,TRUE,English,English,24-30 years,02-01-2018,,House Ads,TRUE,1,1,Yes
22,a100000050,01-01-2018,House Ads,personalization,FALSE,English,English,24-30 years,02-01-2018,,House Ads,TRUE,1,1,Yes
23,a100000051,02-01-2018,House Ads,personalization,TRUE,English,English,30-36 years,02-01-2018,,House Ads,TRUE,1,1,Yes
24,a100000051,01-01-2018,Push,personalization,FALSE,English,English,30-36 years,02-01-2018,,House Ads,TRUE,1,1,Yes
25,a100000052,02-01-2018,House Ads,personalization,TRUE,English,English,36-45 years,02-01-2018,,House Ads,TRUE,1,1,Yes
26,a100000052,01-01-2018,House Ads,personalization,FALSE,English,English,36-45 years,02-01-2018,,House Ads,TRUE,1,1,Yes
27,a100000053,02-01-2018,House Ads,personalization,TRUE,English,English,45-55 years,02-01-2018,,House Ads,TRUE,1,1,Yes
28,a100000053,01-01-2018,House Ads,personalization,FALSE,English,English,45-55 years,02-01-2018,,House Ads,TRUE,1,1,Yes
29,a100000054,02-01-2018,House Ads,personalization,TRUE,English,English,55+ years,02-01-2018,,House Ads,TRUE,1,1,Yes
30,a100000054,01-01-2018,House Ads,personalization,FALSE,English,English,55+ years,02-01-2018,,House Ads,TRUE,1,1,Yes
31,a100000055,02-01-2018,House Ads,personalization,TRUE,English,English,0-18 years,02-01-2018,,House Ads,TRUE,1,1,Yes
32,a100000055,01-01-2018,Push,personalization,FALSE,English,English,0-18 years,02-01-2018,,House Ads,TRUE,1,1,Yes
33,a100000056,02-01-2018,House Ads,personalization,TRUE,English,English,19-24 years,02-01-2018,,House Ads,TRUE,1,1,Yes
34,a100000056,01-01-2018,Facebook,personalization,FALSE,English,English,19-24 years,02-01-2018,,House Ads,TRUE,1,1,Yes
35,a100000057,02-01-2018,House Ads,personalization,TRUE,English,English,24-30 years,02-01-2018,,House Ads,TRUE,1,1,Yes
36,a100000057,01-01-2018,Instagram,personalization,FALSE,English,English,24-30 years,02-01-2018,,House Ads,TRUE,1,1,Yes
37,a100000058,02-01-2018,House Ads,personalization,TRUE,English,English,0-18 years,02-01-2018,,House Ads,TRUE,1,1,Yes
38,a100000058,01-01-2018,Instagram,personalization,FALSE,English,English,0-18 years,02-01-2018,,House Ads,TRUE,1,1,Yes
39,a100000059,02-01-2018,House Ads,personalization,TRUE,English,English,19-24 years,02-01-2018,19-02-2018,House Ads,FALSE,1,1,Yes
40,a100000059,01-01-2018,Facebook,personalization,FALSE,English,English,19-24 years,02-01-2018,19-02-2018,House Ads,FALSE,1,1,Yes
41,a100000060,02-01-2018,House Ads,personalization,TRUE,German,German,24-30 years,02-01-2018,08-03-2018,House Ads,FALSE,1,1,Yes
42,a100000060,01-01-2018,House Ads,personalization,FALSE,German,German,24-30 years,02-01-2018,08-03-2018,House Ads,FALSE,1,1,Yes
43,a100000061,02-01-2018,House Ads,personalization,TRUE,English,English,0-18 years,02-01-2018,05-02-2018,House Ads,FALSE,1,1,Yes
44,a100000061,01-01-2018,House Ads,personalization,FALSE,English,English,0-18 years,02-01-2018,05-02-2018,House Ads,FALSE,1,1,Yes
45,a100000062,03-01-2018,House Ads,personalization,TRUE,English,English,19-24 years,03-01-2018,11-01-2018,House Ads,FALSE,2,1,Yes
46,a100000062,01-01-2018,House Ads,personalization,FALSE,English,English,19-24 years,03-01-2018,11-01-2018,House Ads,FALSE,2,1,Yes
47,a100000063,03-01-2018,House Ads,personalization,TRUE,English,English,24-30 years,03-01-2018,06-01-2018,House Ads,FALSE,2,1,Yes
48,a100000063,01-01-2018,House Ads,personalization,FALSE,English,English,24-30 years,03-01-2018,06-01-2018,House Ads,FALSE,2,1,Yes
49,a100000064,03-01-2018,House Ads,personalization,TRUE,English,English,0-18 years,03-01-2018,01-03-2018,House Ads,FALSE,2,1,Yes
50,a100000064,01-01-2018,Push,personalization,FALSE,English,English,0-18 years,03-01-2018,01-03-2018,House Ads,FALSE,2,1,Yes
